Code,Country,EDGAR Country Code,Income group,Lending category,Region,CSC Sector,CSC Subsector,Gas,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Building,CH4,MtCO2e,0.000202126,0.000214262,0.000218347,0.000244177,0.000263009,0.000242119,0.000217556,0.000215556,0.00021849,0.000290287,0.000280355,0.00041107,0.000488695,0.00055416,0.000538396,0.000499618,0.00057027,0.000542067,0.000574065,0.000470524,0.000615606,0.000617427,0.000622444
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Building,CO2,MtCO2e,0.021251224,0.023579496,0.023319891,0.027213695,0.032069002,0.026398121,0.019530576,0.020555578,0.01837213,0.022013381,0.018812812,0.016835133,0.030151913,0.047089676,0.037332349,0.035078978,0.039402647,0.03548828,0.044616156,0.050051171,0.044068147,0.042465669,0.044068147
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Building,N2O,MtCO2e,0.00021796,0.000221372,0.000195292,0.000210869,0.000249129,0.000282644,0.000233828,0.000316352,0.000215935,0.000314862,0.000268363,9.6832E-05,0.00013338,0.00015962,0.000138162,0.000129863,0.000136954,0.000134576,0.000234871,0.000264148,0.000240334,0.000233949,0.000241197
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Electricity/Heat,CH4,MtCO2e,7.34921E-05,7.48733E-05,7.85006E-05,9.07503E-05,9.45918E-05,0.000101212,0.000111024,0.000125531,0.000125175,0.000132768,0.000122891,7.89118E-05,9.87138E-05,0.000114389,0.000119724,0.000125647,0.000127418,0.000122125,0.000132048,0.000155829,0.000135374,0.000132398,0.000136365
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Electricity/Heat,CO2,MtCO2e,0.131217359,0.133759079,0.137867198,0.166334032,0.171255198,0.196175653,0.215872038,0.245975191,0.2447495,0.259390691,0.253803705,0.154366459,0.197369265,0.213815702,0.222203506,0.229351841,0.239739554,0.223554549,0.23232508,0.274290385,0.232537215,0.224081316,0.232537215
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Electricity/Heat,N2O,MtCO2e,0.000195319,0.00019978,0.000208633,0.000246436,0.000254695,0.000284747,0.000312898,0.000356223,0.000353889,0.000374845,0.000361564,0.000230339,0.000289202,0.000323069,0.000338284,0.000351106,0.000362231,0.000342751,0.000362499,0.000429022,0.000367836,0.000356918,0.000369087
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Fugitive Emissions,CH4,MtCO2e,0.055759783,0.055775068,0.055867088,0.059905397,0.066867339,0.06740775,0.037498585,0.038441087,0.034633311,0.030897014,0.019865361,0.026763178,0.005042757,0.001628839,0.002065325,0.001961491,0.002026284,0.002062849,0.002096778,0.00210087,0.002018683,0.002111853,0.002111853
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Fugitive Emissions,CO2,MtCO2e,0.000109897,0.000109652,0.00014645,0.000116641,0.00011766,0.000117683,0.00016647,0.000201079,0.00020792,0.000237129,0.000208786,0.00020326,5.91159E-05,0,0,0,0,0,0,0,0,0,0
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Fugitive Emissions,N2O,MtCO2e,8.78828E-06,8.93881E-06,9.69628E-06,9.55951E-06,9.65176E-06,9.77611E-06,1.02352E-05,1.0484E-05,1.05891E-05,1.08068E-05,1.05558E-05,2.07347E-05,2.01456E-05,1.94935E-05,2.47173E-05,2.34746E-05,2.425E-05,2.46876E-05,2.50937E-05,2.51427E-05,2.41591E-05,2.52741E-05,2.52741E-05
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,2.65878E-05,2.48002E-05,3.67342E-05,3.64624E-05,3.53545E-05,3.42506E-05,3.34011E-05,2.76351E-05,2.23519E-05,2.77099E-05,2.79095E-05,4.37223E-05,5.21673E-05,4.17924E-05,4.46734E-05,4.2468E-05,4.53101E-05,5.26416E-05,5.28784E-05,5.36165E-05,4.81351E-05,4.79817E-05,4.89479E-05
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,0.00690161,0.008060236,0.018699722,0.018222412,0.017233174,0.015680996,0.014912834,0.01335028,0.010203544,0.01473093,0.013916233,0.012607751,0.019760696,0.025197589,0.027370212,0.025589317,0.024311645,0.022302224,0.025116707,0.027941824,0.023690726,0.022829245,0.023690726
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,3.84492E-05,3.7023E-05,5.93811E-05,5.8687E-05,5.65849E-05,5.41659E-05,5.26422E-05,4.42525E-05,3.54193E-05,4.52339E-05,4.48724E-05,6.39592E-05,7.95566E-05,7.03493E-05,7.52329E-05,7.12179E-05,7.38397E-05,8.17346E-05,8.40975E-05,8.70219E-05,7.71587E-05,7.63681E-05,7.81843E-05
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Transportation,CH4,MtCO2e,0.000560088,0.000550396,0.000558105,0.000615189,0.000632737,0.000687465,0.000700952,0.000733053,0.000707486,0.000803729,0.000817072,0.000497991,0.00060942,0.000693683,0.000733687,0.000703063,0.000698149,0.000685485,0.000762459,0.00085656,0.000726022,0.00070036,0.000726869
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Transportation,CO2,MtCO2e,0.085451787,0.087373557,0.091398815,0.10347529,0.105024388,0.118346176,0.133502035,0.142790659,0.145648512,0.15986395,0.161562074,0.090076356,0.119300765,0.136758242,0.146210474,0.144525383,0.148033411,0.143341304,0.156922698,0.179221053,0.151140793,0.146434259,0.152634975
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Energy,EN - Transportation,N2O,MtCO2e,0.000990014,0.001020884,0.001060743,0.001227864,0.001291727,0.00145044,0.001712995,0.001779853,0.001745791,0.001765617,0.001756934,0.000862474,0.001180471,0.001369496,0.001444049,0.001414316,0.001625652,0.001577588,0.00151174,0.001777197,0.001500882,0.001452216,0.001512031
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,0.001152421,0.001189653,0.001178425,0.001245899,0.001258876,0.001504053,0.001585544,0.001617968,0.001589533,0.001826665,0.001763511,0.00132003,0.001902041,0.002028586,0.002133624,0.002190419,0.002252949,0.002155712,0.002120691,0.002343148,0.002150087,0.002142176,0.002133801
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Industrial Processes,IN - Industrial Processes,N2O,MtCO2e,0.002012944,0.002037327,0.0021352,0.002428985,0.002460895,0.002665705,0.002792491,0.003005582,0.002989217,0.003338637,0.003249489,0.001913467,0.002616616,0.002923866,0.003073471,0.00304504,0.003147486,0.002975378,0.003207089,0.003672735,0.003143249,0.003046734,0.003159797
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Waste,Waste - Solid Waste,CH4,MtCO2e,0.015050399,0.01510545,0.015130522,0.015265116,0.015509992,0.015562829,0.015531864,0.015464939,0.015322537,0.014910984,0.014654577,0.014718751,0.014723386,0.014850684,0.014919012,0.014940862,0.015026094,0.015152481,0.015276411,0.01537482,0.015473864,0.015582723,0.015692348
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Waste,Waste - Wastewater Treatment,CH4,MtCO2e,0.013780758,0.014011869,0.014247721,0.01446913,0.014641086,0.014746634,0.014866299,0.014925116,0.014946409,0.014963171,0.014997016,0.015034616,0.015112788,0.015206229,0.015301798,0.015390914,0.015456194,0.015518144,0.015577327,0.015635874,0.015697204,0.015769799,0.01579849
ABW,Aruba,ABW,High income,,Latin America & Caribbean,Waste,Waste - Wastewater Treatment,N2O,MtCO2e,0.000764348,0.000781553,0.000805525,0.000829187,0.000862054,0.000895102,0.000929253,0.000959916,0.000973044,0.000984185,0.00098288,0.000979764,0.000995089,0.001002732,0.001013849,0.001026163,0.001053685,0.001073974,0.001078116,0.001071381,0.00107527,0.001085092,0.001095003
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Agriculture,AG - Livestock,CH4,MtCO2e,8.246759927,6.801831098,8.797280946,9.029846487,8.737739414,8.585358359,8.616557352,8.826680131,9.757965874,10.00649045,11.544304,11.47832422,11.0345302,10.80128786,11.00697252,10.78623449,10.71565063,10.44089629,10.67558759,10.24355804,10.66314824,10.63853099,10.61438187
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Agriculture,AG - Livestock,N2O,MtCO2e,0.009180119,0.007010085,0.011945092,0.012782765,0.0117115,0.012285962,0.013365762,0.013665372,0.014787832,0.014556496,0.017969856,0.017585996,0.014367483,0.013916282,0.014542905,0.017079343,0.016984439,0.016326619,0.017016407,0.016813254,0.016675094,0.016594244,0.01651576
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Agriculture,AG - Crops,CH4,MtCO2e,0.840621993,0.785661114,0.893180179,0.969478741,1.261760729,1.075726108,1.063183748,1.141608089,1.236167821,1.337296179,1.377386086,1.371249861,1.367005918,1.369012108,1.465482906,1.105876092,0.825709127,0.756715464,0.793185781,0.879399018,1.010510359,0.998484498,0.975302176
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Agriculture,AG - Crops,CO2,MtCO2e,0.007857141,0.038028566,0.032685708,0.036142851,0.040857135,0.050285708,0,0,0,0,0,0,0.062857131,0.055157133,0.084490461,0.116966646,0.162799971,0.310880897,0.160914257,0.15043807,0.064795227,0.054360944,0.046161495
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Agriculture,AG - Crops,N2O,MtCO2e,2.221683291,1.978669241,2.324302077,2.410476863,2.395010349,2.498585897,2.453165946,2.458351223,2.68977319,2.843053215,3.17160827,3.217072997,3.233182867,3.164757035,3.313268737,3.326933051,3.458276588,3.939859427,3.41139044,3.278501344,3.164561704,3.114518065,3.09389101
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Building,CH4,MtCO2e,0.10939669,0.112049535,0.117064,0.119926262,0.123070955,0.126131821,0.128959765,0.131596446,0.134586958,0.138676256,0.141529395,0.144320651,0.147092515,0.166929474,0.169885053,0.173848423,0.176389805,0.179360116,0.177625393,0.180750074,0.183847566,0.187409804,0.187432699
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Building,CO2,MtCO2e,0.036545309,0.041532986,0.030669652,0.042946697,0.041438923,0.056708237,0.071937313,0.102613808,0.213343677,0.540723984,0.528863888,0.820581193,0.738340698,0.668259546,0.597181046,0.903331638,0.712071323,0.604791941,0.692528888,0.567869348,0.567433406,0.591750788,0.601277528
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Building,N2O,MtCO2e,0.013089761,0.013378423,0.013844596,0.014288042,0.014601265,0.014921861,0.015311576,0.018416845,0.02279725,0.027223265,0.030495768,0.033794149,0.030925339,0.030181395,0.02800193,0.029669257,0.027689359,0.027644143,0.029218652,0.02854149,0.027287926,0.027936664,0.02803483
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Electricity/Heat,CH4,MtCO2e,0.000260169,0.00031961,0.000314207,0.000501923,0.000477646,0.000605403,0.00066297,0.001072352,0.001589117,0.002096984,0.002234944,0.002838085,0.002641407,0.002585358,0.00261484,0.002211612,0.00207588,0.002134903,0.001916419,0.001926277,0.001383618,0.001350866,0.001304443
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Electricity/Heat,CO2,MtCO2e,0.38804867,0.349180524,0.323762197,0.386235067,0.342919589,0.493538062,0.547340638,0.686490145,1.212221094,1.754106612,2.11005542,2.663710633,2.299730865,2.116541821,2.162337455,2.33268667,2.310097154,2.459108828,2.168156656,2.055240677,1.487993623,1.529267267,1.527549603
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Electricity/Heat,N2O,MtCO2e,0.000463989,0.000626727,0.000589919,0.000945477,0.00088057,0.001140576,0.001286935,0.002161812,0.003097919,0.004283476,0.005160302,0.006876902,0.00614751,0.006207614,0.006584193,0.006285378,0.006760848,0.007571127,0.00582653,0.006087033,0.004239833,0.00428001,0.004214072
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Fugitive Emissions,CH4,MtCO2e,0.24911289,0.240776749,0.266757818,0.24859069,0.24157564,0.269740354,0.264732751,0.386747217,0.45776631,0.499090081,0.666801439,1.060564862,0.945596651,0.997468217,1.087688881,0.998583115,1.172256262,1.423331329,1.55591098,1.408550622,0.596590366,1.100137263,1.077480829
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Fugitive Emissions,CO2,MtCO2e,0.025028121,0.02533876,0.000270592,0.000376896,0.000217001,0.00210192,0.002472804,0.003717085,0.007346395,0.014460497,0.021928202,0.031479424,0.030584895,0.03013845,0.164408981,0.344863289,0.376547292,0.26452871,0.190339778,0.158017472,0.100331345,0.10657491,0.100849744
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Fugitive Emissions,N2O,MtCO2e,0.00204083,0.002103712,0.002076728,0.002159677,0.002218911,0.002347633,0.002410078,0.002469803,0.002561319,0.002625114,0.00272038,0.002805733,0.002872793,0.002995494,0.003153481,0.003336547,0.003416881,0.003486219,0.003542693,0.003633099,0.003703136,0.003804746,0.003802718
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,0.001865838,0.001863828,0.002030783,0.002004964,0.002023297,0.002056282,0.002163468,0.003025201,0.004052795,0.005024116,0.005574283,0.010238308,0.008197583,0.007758723,0.008863208,0.006694498,0.00672867,0.00863935,0.006789711,0.006995991,0.004810632,0.004946403,0.004919305
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,0.246399241,0.186506871,0.281072215,0.214303366,0.169212705,0.245604252,0.262196737,0.644945225,1.158102478,1.608979491,1.924782858,3.638331829,2.87914819,2.868673071,3.057026524,2.394270502,2.408196815,2.926521146,2.412385296,2.369205763,1.645051051,1.695876335,1.689139044
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,0.002392582,0.002415986,0.002601284,0.002616022,0.002636631,0.002705898,0.002865625,0.004122812,0.005693059,0.007178268,0.008022111,0.01472759,0.011733116,0.011141552,0.012623581,0.009564143,0.009567172,0.012267547,0.009737624,0.009988184,0.006881562,0.007080518,0.007045884
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Transportation,CH4,MtCO2e,0.003002197,0.002508601,0.002330543,0.002970949,0.002282856,0.004225776,0.004451149,0.003982672,0.009288629,0.015243754,0.021719091,0.025241613,0.02236049,0.014952292,0.010278811,0.013805838,0.010013992,0.009560419,0.012544047,0.011161547,0.008662368,0.009030469,0.009179077
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Transportation,CO2,MtCO2e,0.241419407,0.230046887,0.179801057,0.246914747,0.210581109,0.352773884,0.463560232,0.492728368,1.308005242,2.427742358,3.343026629,4.482588426,3.920413804,2.633938937,1.945097442,2.407381465,1.727949933,1.747122392,2.258401121,1.900048946,1.475218546,1.528984386,1.577174837
