Subsector,Gas,Edgar_Class,Edgar_Subsector,Edgar_Sector,Vars,ids,IND,PRY,KAZ,MNG,TUN,GAB,LBR,BWA,MWI,MOZ,RWA,SOM,ZMB,SLE,BEN,ETH,MRT,NER,TGO,IRN,UGA
lvst,ch4,AG - Livestock:CH4,AG - Livestock,Agriculture,emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep,1:lvst:ch4,216.8327472,12.03652058,13.13534732,9.52701391,1.247285242,0.051507157,0.08733523,0.620017734,2.475888069,1.905414097,0.900764832,8.971849755,2.279385062,0.517069003,1.488482112,45.03150989,3.44620084,12.14661708,0.787988788,9.52917645,9.972243975
lsmm,ch4,AG - Livestock:CH4,AG - Livestock,Agriculture,emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid,2:lsmm:ch4,216.8327472,12.03652058,13.13534732,9.52701391,1.247285242,0.051507157,0.08733523,0.620017734,2.475888069,1.905414097,0.900764832,8.971849755,2.279385062,0.517069003,1.488482112,45.03150989,3.44620084,12.14661708,0.787988788,9.52917645,9.972243975
lsmm,n2o,AG - Livestock:N2O,AG - Livestock,Agriculture,emission_co2e_n2o_lsmm_anaerobic_digester:emission_co2e_n2o_lsmm_anaerobic_lagoon:emission_co2e_n2o_lsmm_composting:emission_co2e_n2o_lsmm_daily_spread:emission_co2e_n2o_lsmm_deep_bedding:emission_co2e_n2o_lsmm_dry_lot:emission_co2e_n2o_lsmm_incineration:emission_co2e_n2o_lsmm_liquid_slurry:emission_co2e_n2o_lsmm_paddock_pasture_range:emission_co2e_n2o_lsmm_poultry_manure:emission_co2e_n2o_lsmm_storage_solid,3:lsmm:n2o,2.169402906,0.12598805,1.269783296,0.575758435,0.026885805,0.017919565,0.03186611,0.004542122,0.758942655,0.161821708,0.12652057,0.023923084,0.105447638,0.032552645,0.061309581,0.280803105,0.01014884,0.084756429,0.100270007,0.210769299,0.299058771
agrc,co2,AG - Crops:CO2,AG - Crops,Agriculture,emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_agrc_soil_carbon_organic_soils,4:agrc:co2,32.6348187,0.076804354,0.45409846,0,0.093162894,0,0,0,0,0,0,0,0.237825657,0,0,0.465140005,0,0,0,1.858300086,0
agrc,ch4,AG - Crops:CH4,AG - Crops,Agriculture,emission_co2e_ch4_agrc_anaerobicdom_rice:emission_co2e_ch4_agrc_biomass_burning,5:agrc:ch4,127.221401,1.101915652,0.833077058,0.005522661,0.001989879,0.006450369,0.099150584,0.014341134,0.338445426,1.123961193,0.132115333,0.013951583,0.297161873,1.327562556,0.527887512,0.645649984,0.26431258,0.309671556,0.389619884,3.137081162,0.576886757
agrc,n2o,AG - Crops:N2O,AG - Crops,Agriculture,emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues,6:agrc:n2o,193.9472655,5.87335993,11.9406238,6.532329682,1.157102087,0.063551991,0.120682939,0.465998478,2.927121933,1.795637585,0.870801742,4.307090647,6.020981607,0.473142236,1.317114814,35.50298108,2.098884892,9.287698669,0.809250311,15.82638958,8.092842785
scoe,co2,EN - Building:CO2,EN - Building,Energy,emission_co2e_co2_scoe_commercial_municipal:emission_co2e_co2_scoe_other_se:emission_co2e_co2_scoe_residential,7:scoe:co2,211.7807328,0.292818584,46.1320404,2.761309657,5.014237126,0.186359591,0.126045322,0.130625295,0.206123908,0.141819829,0.164841375,0.079625873,0.499915447,0.081843666,0.465941755,1.82865744,0.377887791,0.157935001,0.075452151,135.7914672,0.611469345
scoe,ch4,EN - Building:CH4,EN - Building,Energy,emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_other_se:emission_co2e_ch4_scoe_residential,8:scoe:ch4,38.7913092,0.378376513,1.49167602,0.498931732,0.303822016,0.389445728,1.40036323,0.15722048,0.891316598,1.760114843,0.863751879,2.415814795,1.667045603,0.867556586,0.697152117,14.43268722,0.33337702,0.981970239,0.527902972,0.527047783,2.554440753
scoe,n2o,EN - Building:N2O,EN - Building,Energy,emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_other_se:emission_co2e_n2o_scoe_residential,9:scoe:n2o,8.133100097,0.043863999,0.315281697,0.043428312,0.172736925,0.049382547,0.176122845,0.020601791,0.10945753,0.201083201,0.105177265,0.296168567,0.208521343,0.107298136,0.086833094,2.918471689,0.04554201,0.129431914,0.055051074,0.961596906,0.323356375
entc,co2,EN - Electricity/Heat:CO2,EN - Electricity/Heat,Energy,emission_co2e_co2_entc_generation_pp_biogas:emission_co2e_co2_entc_generation_pp_biomass:emission_co2e_co2_entc_generation_pp_coal:emission_co2e_co2_entc_generation_pp_coal_ccs:emission_co2e_co2_entc_generation_pp_gas:emission_co2e_co2_entc_generation_pp_gas_ccs:emission_co2e_co2_entc_generation_pp_geothermal:emission_co2e_co2_entc_generation_pp_hydropower:emission_co2e_co2_entc_generation_pp_nuclear:emission_co2e_co2_entc_generation_pp_ocean:emission_co2e_co2_entc_generation_pp_oil:emission_co2e_co2_entc_generation_pp_solar:emission_co2e_co2_entc_generation_pp_waste_incineration:emission_co2e_co2_entc_generation_pp_wind,10:entc:co2,1255.055815,0.002078856,108.5787197,13.23245695,12.14476397,1.389581834,0.291902304,4.687933289,2.227588485,1.843766973,0.261085115,0.184388295,2.786760147,0.189529851,0.536004451,0.004903065,0.875177537,0.68404502,0.240824038,171.997239,0.056306178
