strategy_id,strategy_code,strategy,description,transformation_specification,baseline_strategy_id
0,BASE,Strategy TX:BASE,,TX:BASE,1
1000,AGRC:DEC_CH4_RICE,Singleton - Default Value - AGRC: Improve rice management,,TX:AGRC:DEC_CH4_RICE,0
1001,AGRC:DEC_EXPORTS,Singleton - Default Value - AGRC: Decrease Exports,,TX:AGRC:DEC_EXPORTS,0
1002,AGRC:DEC_LOSSES_SUPPLY_CHAIN,Singleton - Default Value - AGRC: Reduce supply chain losses,,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0
1003,AGRC:INC_CONSERVATION_AGRICULTURE,Singleton - Default Value - AGRC: Expand conservation agriculture,,TX:AGRC:INC_CONSERVATION_AGRICULTURE,0
1004,AGRC:INC_PRODUCTIVITY,Singleton - Default Value - AGRC: Improve crop productivity,,TX:AGRC:INC_PRODUCTIVITY,0
1005,LNDU:DEC_DEFORESTATION,Singleton - Default Value - LNDU: Stop deforestation,,TX:LNDU:DEC_DEFORESTATION,0
1006,LNDU:DEC_SOC_LOSS_PASTURES,Singleton - Default Value - LNDU: Expand sustainable grazing practices,,TX:LNDU:DEC_SOC_LOSS_PASTURES,0
1007,LNDU:INC_REFORESTATION,Singleton - Default Value - LNDU: Increase Reforestation,,TX:LNDU:INC_REFORESTATION,0
1008,LNDU:INC_SILVOPASTURE,Singleton - Default Value - LNDU: Expand silvopasture,,TX:LNDU:INC_SILVOPASTURE,0
1009,LNDU:PLUR,Singleton - Default Value - LNDU: Partial land use reallocation,,TX:LNDU:PLUR,0
1010,LSMM:INC_CAPTURE_BIOGAS,Singleton - Default Value - LSMM: Increase biogas capture at anaerobic decomposition facilities,,TX:LSMM:INC_CAPTURE_BIOGAS,0
1011,LSMM:INC_MANAGEMENT_CATTLE_PIGS,Singleton - Default Value - LSMM: Improve manure management for cattle and pigs,,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,0
1012,LSMM:INC_MANAGEMENT_OTHER,Singleton - Default Value - LSMM: Improve manure management for other animals,,TX:LSMM:INC_MANAGEMENT_OTHER,0
1013,LSMM:INC_MANAGEMENT_POULTRY,Singleton - Default Value - LSMM: Improve manure management for poultry,,TX:LSMM:INC_MANAGEMENT_POULTRY,0
1014,LVST:DEC_ENTERIC_FERMENTATION,Singleton - Default Value - LVST: Reduce enteric fermentation,,TX:LVST:DEC_ENTERIC_FERMENTATION,0
1015,LVST:DEC_EXPORTS,Singleton - Default Value - LVST: Decrease exports,,TX:LVST:DEC_EXPORTS,0
1016,LVST:INC_PRODUCTIVITY,Singleton - Default Value - LVST: Increase livestock productivity,,TX:LVST:INC_PRODUCTIVITY,0
1017,SOIL:DEC_LIME_APPLIED,Singleton - Default Value - SOIL: Improve lime application,,TX:SOIL:DEC_LIME_APPLIED,0
1018,SOIL:DEC_N_APPLIED,Singleton - Default Value - SOIL: Improve fertilizer application,,TX:SOIL:DEC_N_APPLIED,0
